mes,ano,id_autor_parlametria,direitos-humanos,licenciamento-ambiental,migracao-e-refugio,pandemia,reforma-administrativa,reforma-tributaria,socioambiental,transparencia-e-integridade
1,2019,1107283,0,0,0,0,0,0,0,0
1,2019,1108338,0,0,0,0,0,0,0,0
1,2019,1109429,0,0,0,0,0,0,0,0
1,2019,1112437,0,0,0,0,0,0,0,0
1,2019,1116379,0,0,0,0,0,0,0,0
1,2019,1121948,0,0,0,0,0,0,0,0
1,2019,1122158,0,0,0,0,0,0,0,0
1,2019,1122195,0,0,0,0,0,0,0,0
1,2019,1122974,0,0,0,0,0,0,0,0
1,2019,1132504,0,0,0,0,0,0,0,0
1,2019,1133439,0,0,0,0,0,0,0,0
1,2019,1133810,0,0,0,0,0,0,0,0
1,2019,1133968,0,0,0,0,0,0,0,0
1,2019,1134812,0,0,0,0,0,0,0,0
1,2019,1136811,0,0,0,0,0,0,0,0
1,2019,1137070,0,0,0,0,0,0,0,0
1,2019,1139285,0,0,0,0,0,0,0,0
1,2019,1141335,0,0,0,0,0,0,0,0
1,2019,1141391,0,0,0,0,0,0,0,0
1,2019,1141398,0,0,0,0,0,0,0,0
1,2019,1141401,0,0,0,0,0,0,0,0
1,2019,1141405,0,0,0,0,0,0,0,0
1,2019,1141408,0,0,0,0,0,0,0,0
1,2019,1141411,0,0,0,0,0,0,0,0
1,2019,1141421,0,0,0,0,0,0,0,0
1,2019,1141422,0,0,0,0,0,0,0,0
1,2019,1141427,0,0,0,0,0,0,0,0
1,2019,1141428,0,0,0,0,0,0,0,0
1,2019,1141434,0,0,0,0,0,0,0,0
1,2019,1141439,0,0,0,0,0,0,0,0
1,2019,1141450,0,0,0,0,0,0,0,0
1,2019,1141458,0,0,0,0,0,0,0,0
1,2019,1141459,0,0,0,0,0,0,0,0
1,2019,1141464,0,0,0,0,0,0,0,0
1,2019,1141470,0,0,0,0,0,0,0,0
1,2019,1141488,0,0,0,0,0,0,0,0
1,2019,1141508,0,0,0,0,0,0,0,0
1,2019,1141513,0,0,0,0,0,0,0,0
1,2019,1141515,0,0,0,0,0,0,0,0
1,2019,1141516,0,0,0,0,0,0,0,0
1,2019,1141518,0,0,0,0,0,0,0,0
1,2019,1141523,0,0,0,0,0,0,0,0
1,2019,1141531,0,0,0,0,0,0,0,0
1,2019,1141552,0,0,0,0,0,0,0,0
1,2019,1141553,0,0,0,0,0,0,0,0
1,2019,1141555,0,0,0,0,0,0,0,0
1,2019,1143084,0,0,0,0,0,0,0,0
1,2019,1143632,0,0,0,0,0,0,0,0
1,2019,1146307,0,0,0,0,0,0,0,0
1,2019,1146788,0,0,0,0,0,0,0,0
1,2019,1150418,0,0,0,0,0,0,0,0
1,2019,1151208,0,0,0,0,0,0,0,0
1,2019,1152605,0,0,0,0,0,0,0,0
1,2019,1152610,0,0,0,0,0,0,0,0
1,2019,1154178,0,0,0,0,0,0,0,0
1,2019,1156190,0,0,0,0,0,0,0,0
1,2019,1157130,0,0,0,0,0,0,0,0
1,2019,1159237,0,0,0,0,0,0,0,0
1,2019,1160508,0,0,0,0,0,0,0,0
1,2019,1160510,0,0,0,0,0,0,0,0
1,2019,1160511,0,0,0,0,0,0,0,0
1,2019,1160512,0,0,0,0,0,0,0,0
1,2019,1160518,0,0,0,0,0,0,0,0
1,2019,1160527,0,0,0,0,0,0,0,0
1,2019,1160528,0,0,0,0,0,0,0,0
1,2019,1160531,0,0,0,0,0,0,0,0
1,2019,1160532,0,0,0,0,0,0,0,0
1,2019,1160534,0,0,0,0,0,0,0,0
1,2019,1160535,0,0,0,0,0,0,0,0
1,2019,1160538,0,0,0,0,0,0,0,0
1,2019,1160545,0,0,0,0,0,0,0,0
1,2019,1160552,0,0,0,0,0,0,0,0
1,2019,1160553,0,0,0,0,0,0,0,0
1,2019,1160556,0,0,0,0,0,0,0,0
1,2019,1160559,0,0,0,0,0,0,0,0
1,2019,1160568,0,0,0,0,0,0,0,0
1,2019,1160569,0,0,0,0,0,0,0,0
1,2019,1160570,0,0,0,0,0,0,0,0
1,2019,1160575,0,0,0,0,0,0,0,0
1,2019,1160587,0,0,0,0,0,0,0,0
1,2019,1160588,0,0,0,0,0,0,0,0
1,2019,1160592,0,0,0,0,0,0,0,0
1,2019,1160598,0,0,0,0,0,0,0,0
1,2019,1160599,0,0,0,0,0,0,0,0
1,2019,1160600,0,0,0,0,0,0,0,0
1,2019,1160601,0,0,0,0,0,0,0,0
1,2019,1160604,0,0,0,0,0,0,0,0
1,2019,1160610,0,0,0,0,0,0,0,0
1,2019,1160619,0,0,0,0,0,0,0,0
1,2019,1160632,0,0,0,0,0,0,0,0
1,2019,1160635,0,0,0,0,0,0,0,0
1,2019,1160639,0,0,0,0,0,0,0,0
1,2019,1160640,0,0,0,0,0,0,0,0
1,2019,1160641,0,0,0,0,0,0,0,0
1,2019,1160642,0,0,0,0,0,0,0,0
1,2019,1160645,0,0,0,0,0,0,0,0
1,2019,1160651,0,0,0,0,0,0,0,0
1,2019,1160653,0,0,0,0,0,0,0,0
1,2019,1160655,0,0,0,0,0,0,0,0
1,2019,1160665,0,0,0,0,0,0,0,0
1,2019,1160666,0,0,0,0,0,0,0,0
1,2019,1160667,0,0,0,0,0,0,0,0
1,2019,1160669,0,0,0,0,0,0,0,0
1,2019,1160673,0,0,0,0,0,0,0,0
1,2019,1160674,0,0,0,0,0,0,0,0
1,2019,1160758,0,0,0,0,0,0,0,0
1,2019,1160976,0,0,0,0,0,0,0,0
1,2019,1161550,0,0,0,0,0,0,0,0
1,2019,1162332,0,0,0,0,0,0,0,0
1,2019,1164359,0,0,0,0,0,0,0,0
1,2019,1164360,0,0,0,0,0,0,0,0
1,2019,1166402,0,0,0,0,0,0,0,0
1,2019,1168175,0,0,0,0,0,0,0,0
1,2019,1171617,0,0,0,0,0,0,0,0
1,2019,1171619,0,0,0,0,0,0,0,0
1,2019,1171623,0,0,0,0,0,0,0,0
1,2019,1177282,0,0,0,0,0,0,0,0
1,2019,1178825,0,0,0,0,0,0,0,0
1,2019,1178829,0,0,0,0,0,0,0,0
1,2019,1178830,0,0,0,0,0,0,0,0
1,2019,1178831,0,0,0,0,0,0,0,0
1,2019,1178832,0,0,0,0,0,0,0,0
1,2019,1178833,0,0,0,0,0,0,0,0
1,2019,1178835,0,0,0,0,0,0,0,0
1,2019,1178836,0,0,0,0,0,0,0,0
1,2019,1178839,0,0,0,0,0,0,0,0
1,2019,1178842,0,0,0,0,0,0,0,0
1,2019,1178843,0,0,0,0,0,0,0,0
1,2019,1178844,0,0,0,0,0,0,0,0
1,2019,1178854,0,0,0,0,0,0,0,0
1,2019,1178857,0,0,0,0,0,0,0,0
1,2019,1178858,0,0,0,0,0,0,0,0
1,2019,1178860,0,0,0,0,0,0,0,0
1,2019,1178861,0,0,0,0,0,0,0,0
1,2019,1178862,0,0,0,0,0,0,0,0
